scope,label,prediction_models,processed_frames,person_detections,detections_with_zed_reference,detections_with_lidar_reference,mean_depth_inference_ms,mean_zed_mae_m,mean_zed_rmse_m,mean_zed_abs_rel,mean_zed_3d_error_m,mean_lidar_3d_error_m
recording2,DAC,DAC,124,86,65,63,399.02688945867044,0.6030686008356952,0.7179185587890728,0.40650013014994246,0.5412815025219551,0.5420320601690383
recording2,UniDAC,UniDAC,124,86,65,63,1094.1773353763217,0.29157257151037824,0.4745212819926838,0.18073748626972405,0.17127178127949055,0.19092626136446755
recording3,DAC,DAC,791,698,470,461,402.6661926204799,0.7673691442463572,1.068718927359544,0.32852794133032975,0.5242677176886417,0.4860661417698395
recording3,UniDAC,UniDAC,791,698,470,461,1091.3249780379788,0.5422316574542034,0.8512782778395221,0.21566246848080042,0.28958863476489455,0.2490526208262123
recording4,DAC,DAC,156,123,123,123,398.5547328987965,0.9579935207704279,1.7513373206427527,0.2163043041436738,0.37367878430257967,0.3210180094087027
recording4,UniDAC,UniDAC,156,123,123,123,1096.471593731295,0.9826605181573712,1.6540507910148654,0.20529751413879563,0.6928856782312316,0.7165042014141393
all recordings,DAC,DAC,1071,907,658,647,401.6459673089514,0.786772279490685,1.161667314011146,0.31525238646606857,0.49779880766991785,0.46013868053140006
all recordings,UniDAC,UniDAC,1071,907,658,647,1092.4048700623596,0.599799908639828,0.9641229805606814,0.21027491038386037,0.3532891528041167,0.3322590872345973
